title,url
"‘삼성전자 라이벌' TSMC, 日 이어 독일에도 반도체 공장 설립 추진",https://biz.chosun.com/international/international_economy/2021/07/26/NHAVXGQUBNBUPDQKFI2HICSAF4/?utm_source=naver&utm_medium=original&utm_campaign=biz
"1분기 희비 갈린 삼성·SK, 2분기 반도체 성적표는?",http://www.fntimes.com/html/view.php?ud=202107242112273956dd55077bc2_18
미국 JD파워 평가 휩쓴 한국 가전…삼성 역대 최다 수상,http://yna.kr/AKR20210723076500003?did=1195m
"‘삼성전자 라이벌' TSMC, 日 이어 독일에도 반도체 공장 설립 추진",https://biz.chosun.com/international/international_economy/2021/07/26/NHAVXGQUBNBUPDQKFI2HICSAF4/?utm_source=naver&utm_medium=original&utm_campaign=biz
"CJ ENM-삼성전자, 최첨단 버추얼 스튜디오 구축",http://www.businesskorea.co.kr/news/articleView.html?idxno=72599
"삼성전자, CJ ENM과 버추얼 스튜디오 구축 파트너십 체결",http://www.cnbnews.com/news/article.html?no=503493
"1분기 희비 갈린 삼성·SK, 2분기 반도체 성적표는?",http://www.fntimes.com/html/view.php?ud=202107242112273956dd55077bc2_18
미국 JD파워 평가 휩쓴 한국 가전…삼성 역대 최다 수상,http://yna.kr/AKR20210723076500003?did=1195m
"“아이폰 가져와, 갤폴드3 바꿔줄게” 삼성의 도발?",http://news.heraldcorp.com/view.php?ud=20210725000283
"삼성전자, 실속형 노트북 '갤럭시 북 Go' 출시",http://www.ekoreanews.co.kr/news/articleView.html?idxno=52133
올해 '30배' 커지는 미니 LED TV시장…삼성·LG '정면 승부',http://www.edaily.co.kr/news/newspath.asp?newsid=03204566629118456
"삼성, '갤럭시 북 Go' 노트북 출시...""연결, 휴대, 사용, 그리고 가격""",http://www.kdfnews.com/news/articleView.html?idxno=78050
"삼성전자, 라이프스타일 TV 더 프레임 85형 韓부터 세계시장 순차 출시",http://www.nspna.com/news/?mode=view&newsid=516731
올해 '30배' 커지는 미니 LED TV시장…삼성·LG '정면 승부',http://www.edaily.co.kr/news/newspath.asp?newsid=03204566629118456
"삼성, '갤럭시 북 Go' 노트북 출시...""연결, 휴대, 사용, 그리고 가격""",http://www.kdfnews.com/news/articleView.html?idxno=78050
"삼성전자, 실속형 노트북 '갤럭시 북 Go' 출시",http://www.4th.kr/news/articleView.html?idxno=2002778
"삼성전자-CJ ENM, 버추얼 스튜디오 구축 파트너십 체결",http://www.techholic.co.kr/news/articleView.html?idxno=199402
"삼성전자, 라이프스타일 TV 더 프레임 85형 韓부터 세계시장 순차 출시",http://www.nspna.com/news/?mode=view&newsid=516731
"[이슈진단+] 삼성·LG, 기술로 모두의 제품 접근성 높인다",https://zdnet.co.kr/view/?no=20210726144342
"삼성전자, 50만원대 실속형 노트북 '갤럭시 북 Go' 출시",http://www.gpkorea.com/news/articleView.html?idxno=76342
"삼성전자-CJ ENM, 미래형 콘텐츠 제작 스튜디오 ‘맞손’",http://www.ddaily.co.kr/news/article.html?no=218775
"CJ ENM-삼성전자, '버추얼 스튜디오 구축' 파트너십 체결",http://www.rpm9.com/news/article.html?id=20210726090005
"""2대까지 보상판매 해줍니다""…폴더블폰 가격 낮춘 삼성, 美 파격 마케팅",https://www.news1.kr/articles/?4381921
"삼성전자-CJ ENM, 미래형 콘텐츠 제작 스튜디오 ‘맞손’",http://www.ddaily.co.kr/news/article.html?no=218775
"삼성전자, 라이프스타일 TV '더 프레임' 85형 출시··· 출고가 669만원",http://www.getnews.co.kr/news/articleView.html?idxno=541749
"CJ ENM-삼성전자, '버추얼 스튜디오 구축' 파트너십 체결",http://www.rpm9.com/news/article.html?id=20210726090005
"삼성전자, CJ ENM과 버추얼 스튜디오 구축 파트너십 체결",http://www.gvalley.co.kr/news/articleView.html?idxno=581853
"""2대까지 보상판매 해줍니다""…폴더블폰 가격 낮춘 삼성, 美 파격 마케팅",https://www.news1.kr/articles/?4381921
"삼성, ‘더 프레임’ TV 85인치 출시…출고가 669만원",https://www.dailian.co.kr/news/view/1015058/?sc=Naver
"삼성전자, 캐나다가 도쿄올림픽 메달 딸 때마다 1천달러 기부",http://yna.kr/AKR20210724037000003?did=1195m
"삼성전자, 실속형 노트북 '갤럭시 북 Go' 출시",http://www.pinpointnews.co.kr/view.php?ud=2021072609234456868a97108249_45
"삼성·LG, 7월 에어컨 판매 급증…폭염에 ‘행복한 비명’",http://www.newsway.co.kr/news/view?tp=1&ud=2021072611010881386
"삼성전자, '더 프레임' 85형 전 세계 시장 순차 출시",https://www.ngetnews.com/news/articleView.html?idxno=402024
